Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest3,io.agrest.cayenne.processor,CayenneQueryAssembler,Law of Demeter violation,The tool detected the smell in this method (toOrdering) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest3,io.agrest.cayenne.processor,CayenneUtil,Law of Demeter violation,The tool detected the smell in this method (toObjectId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.IPathResolver.resolve
agrest3,io.agrest.cayenne.processor,CayenneUtil,Law of Demeter violation,The tool detected the smell in this method (findById) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.IPathResolver.resolve
agrest3,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
agrest3,io.agrest.cayenne.processor.delete.stage,CayenneDeleteMapChangesStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
agrest3,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
agrest3,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Law of Demeter violation,The tool detected the smell in this method (onParentQueryAssembled) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.select.ContextualCayenneRelatedDataResolver.pickResolver; io.agrest.resolver.RelatedDataResolver.onParentQueryAssembled
agrest3,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Law of Demeter violation,The tool detected the smell in this method (onParentDataResolved) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.resolver.RelatedDataResolver.onParentDataResolved; io.agrest.cayenne.processor.select.ContextualCayenneRelatedDataResolver.pickResolver
agrest3,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Law of Demeter violation,The tool detected the smell in this method (dataReader) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.resolver.RelatedDataResolver.dataReader; io.agrest.cayenne.processor.select.ContextualCayenneRelatedDataResolver.pickResolver
agrest3,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
agrest3,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRelatedPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
