Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
agrest3,io.agrest.cayenne.spi,ValidationExceptionMapperIT.Resource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: config
agrest3,io.agrest.cayenne.spi,ValidationExceptionMapperIT.Resource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance,Aie1Sub1Sub1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Aie1Sub2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Ie1Sub1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Ie1Sub1Sub1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Ie1Sub2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Ie1Super,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Ie2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance,Ie3,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A1; IE2; a1; ie2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1Sub1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1Sub1,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A3; a3
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub2,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A2; a2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Super,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Super,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A0; TYPE; IE3S; a0; type; ie3s
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A1; IE2; a1; ie2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1Sub1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1Sub1,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A3; a3
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub2,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A2; a2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Super,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Super,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; A0; TYPE; IE3S; a0; type; ie3s
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie2,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; IE1S; ie1s
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie3,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie3,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; IE1; ie1
agrest3,io.agrest.cayenne.cayenne.main.auto,_E1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E1,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E15E1; age; description; name; e15e1
agrest3,io.agrest.cayenne.cayenne.main.auto,_E10,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E10,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; C_BOOLEAN; C_DATE; C_DECIMAL; C_INT; C_TIME; C_TIMESTAMP; C_VARCHAR; E11S; cBoolean; cDate; cDecimal; cInt; cTime; cTimestamp; cVarchar; e11s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E11,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E11,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; ADDRESS; NAME; E10; address; name; e10
agrest3,io.agrest.cayenne.cayenne.main.auto,_E12,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E12,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; E1213; e1213
agrest3,io.agrest.cayenne.cayenne.main.auto,_E12E13,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E12E13,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; E12_ID_PK_COLUMN; E13_ID_PK_COLUMN; E12; E13; e12; e13
agrest3,io.agrest.cayenne.cayenne.main.auto,_E13,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E13,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; E1213; e1213
agrest3,io.agrest.cayenne.cayenne.main.auto,_E14,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E14,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; LONG_ID_PK_COLUMN; NAME; E15; name; e15
agrest3,io.agrest.cayenne.cayenne.main.auto,_E15,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E15,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; LONG_ID_PK_COLUMN; NAME; E14S; E15E1; E5S; name; e14s; e15e1; e5s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E15E1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E15E1,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; E15_ID_PK_COLUMN; E1_ID_PK_COLUMN; E1; E15; e1; e15
agrest3,io.agrest.cayenne.cayenne.main.auto,_E16,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E16,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; C_DATE; C_TIME; C_TIMESTAMP; cDate; cTime; cTimestamp
agrest3,io.agrest.cayenne.cayenne.main.auto,_E17,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E17,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID1_PK_COLUMN; ID2_PK_COLUMN; ID1; ID2; NAME; E18S; id1; id2; name; e18s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E18,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E18,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; NAME; E17; name; e17
agrest3,io.agrest.cayenne.cayenne.main.auto,_E19,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E19,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; BIG_DECIMAL; BIG_INTEGER; BOOLEAN_OBJECT; BOOLEAN_PRIMITIVE; BYTE_OBJECT; BYTE_PRIMITIVE; C_DATE; C_STRING; C_TIME; C_TIMESTAMP; CHAR_OBJECT; CHAR_PRIMITIVE; DOUBLE_OBJECT; DOUBLE_PRIMITIVE; FLOAT_OBJECT; FLOAT_PRIMITIVE; GUID; INT_OBJECT; INT_PRIMITIVE; LONG_OBJECT; LONG_PRIMITIVE; SHORT_OBJECT; SHORT_PRIMITIVE; bigDecimal; bigInteger; booleanObject; booleanPrimitive; byteObject; bytePrimitive; cDate; cString; cTime; cTimestamp; charObject; charPrimitive; doubleObject; doublePrimitive; floatObject; floatPrimitive; guid; intObject; intPrimitive; longObject; longPrimitive; shortObject; shortPrimitive
agrest3,io.agrest.cayenne.cayenne.main.auto,_E19,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 48 public methods
agrest3,io.agrest.cayenne.cayenne.main.auto,_E2,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID__PK_COLUMN; ADDRESS; NAME; E3S; address; name; e3s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E20,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E20,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E21; age; description; name; e21
agrest3,io.agrest.cayenne.cayenne.main.auto,_E21,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E21,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E20S; age; description; name; e20s
agrest3,io.agrest.cayenne.cayenne.main.auto,_E22,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.cayenne.main.auto,_E22,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ID_PK_COLUMN; NAME; name
