Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,Law of Demeter violation,The tool detected the smell in this method (toOrdering) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest,io.agrest.cayenne.processor,CayenneUtil,Law of Demeter violation,The tool detected the smell in this method (toObjectId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.IPathResolver.resolve; io.agrest.cayenne.path.PathDescriptor.getPathExp
agrest,io.agrest.cayenne.processor,CayenneUtil,Law of Demeter violation,The tool detected the smell in this method (findById) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.IPathResolver.resolve; io.agrest.cayenne.path.PathDescriptor.getPathExp
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
agrest,io.agrest.cayenne.processor.delete.stage,CayenneDeleteMapChangesStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
agrest,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
agrest,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Law of Demeter violation,The tool detected the smell in this method (onParentQueryAssembled) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.resolver.RelatedDataResolver.onParentQueryAssembled; io.agrest.cayenne.processor.select.ContextualCayenneRelatedDataResolver.pickResolver
agrest,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Law of Demeter violation,The tool detected the smell in this method (onParentDataResolved) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.resolver.RelatedDataResolver.onParentDataResolved; io.agrest.cayenne.processor.select.ContextualCayenneRelatedDataResolver.pickResolver
agrest,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,Law of Demeter violation,The tool detected the smell in this method (dataReader) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.resolver.RelatedDataResolver.dataReader; io.agrest.cayenne.processor.select.ContextualCayenneRelatedDataResolver.pickResolver
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRelatedPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRelatedPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RelatedResourceEntity.getIncoming; io.agrest.meta.AgRelationship.getName
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRootPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,Law of Demeter violation,The tool detected the smell in this method (addRootPrefetch) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getName
agrest,io.agrest.cayenne.processor.select,ViaQueryResolver,Law of Demeter violation,The tool detected the smell in this method (doAssembleQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.setSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest,io.agrest.cayenne.processor.select,ViaQueryResolver,Law of Demeter violation,The tool detected the smell in this method (doFetchData) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.getSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,Law of Demeter violation,The tool detected the smell in this method (doOnParentQueryAssembled) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneProcessor.getRelatedEntity; io.agrest.cayenne.processor.CayenneRelatedResourceEntityExt.setSelect
